path edges,path latency,path latency relative,received data,cum received data,path throughput,hop count,path efficiency,path user ratio,switch count,mission data transfer,mission data transfer time
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990405794859653,0.89475970517545,10073520621.933786,5570700199490.981,2014704124.3867574,1,0.8947597051754501,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019903859264980908,0.8947594368648054,10073520464.860685,5580773719955.843,2014704092.972137,1,0.8947594368648055,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990365942576889,0.8947591920395667,10073520308.611115,5590847240264.454,2014704061.7222228,1,0.8947591920395664,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019903458438057228,0.8947589706076995,10073520153.185328,5600920760417.639,2014704030.6370654,1,0.8947589706076995,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019903256308929085,0.8947587724774997,10073519998.583637,5610994280416.224,2014703999.7167275,1,0.8947587724774998,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019903053045453353,0.8947585975576068,10073519844.80639,5621067800261.029,2014703968.9612782,1,0.8947585975576068,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019902848654684037,0.8947584457570159,10073519691.853985,5631141319952.884,2014703938.370797,1,0.8947584457570159,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019902643143659568,0.8947583169850903,10073519539.726856,5641214839492.61,2014703907.9453712,1,0.8947583169850903,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019902436519402128,0.8947582111515754,10073519388.425484,5651288358881.035,2014703877.6850967,1,0.8947582111515753,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019902228788917037,0.8947581281666076,10073519237.950394,5661361878118.985,2014703847.5900788,1,0.8947581281666076,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019902019959192087,0.8947580679407319,10073519088.302164,5671435397207.288,2014703817.6604328,1,0.8947580679407319,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019901810037196925,0.8947580303849083,10073518939.481405,5681508916146.77,2014703787.896281,1,0.8947580303849081,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019901599029882394,0.8947580154105281,10073518791.48878,5691582434938.259,2014703758.2977557,1,0.894758015410528,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019901386944179922,0.8947580229294233,10073518644.324993,5701655953582.584,2014703728.8649986,1,0.8947580229294233,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019901173787000903,0.8947580528538799,10073518497.990803,5711729472080.574,2014703699.5981605,1,0.8947580528538798,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019900959565236097,0.8947581050966477,10073518352.487001,5721802990433.062,2014703670.4974003,1,0.8947581050966477,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019900744285754994,0.8947581795709536,10073518207.814436,5731876508640.876,2014703641.5628872,1,0.8947581795709536,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019900527955405194,0.8947582761905125,10073518063.973999,5741950026704.851,2014703612.7947998,1,0.8947582761905123,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019900310581011896,0.894758394869537,10073517920.966627,5752023544625.817,2014703584.1933255,1,0.894758394869537,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019900092169377208,0.8947585355227514,10073517778.7933,5762097062404.61,2014703555.75866,1,0.8947585355227515,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019899872727279624,0.8947586980653992,10073517637.45505,5772170580042.065,2014703527.49101,1,0.8947586980653993,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019899652261473413,0.8947588824132581,10073517496.952955,5782244097539.018,2014703499.3905911,1,0.8947588824132581,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019899430778688096,0.8947590884826457,10073517357.288137,5792317614896.307,2014703471.4576275,1,0.8947590884826457,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989920828562782,0.8947593161904346,10073517218.461765,5802391132114.768,2014703443.692353,1,0.8947593161904345,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989898478897084,0.8947595654540603,10073517080.475065,5812464649195.243,2014703416.0950131,1,0.8947595654540604,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019898760295368953,0.894759836191532,10073516943.329294,5822538166138.572,2014703388.6658587,1,0.8947598361915319,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019898534811446947,0.8947601283214429,10073516807.025768,5832611682945.599,2014703361.4051538,1,0.8947601283214429,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019898308343802077,0.894760441762981,10073516671.56585,5842685199617.165,2014703334.31317,1,0.8947604417629811,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019898080899003523,0.8947607764359364,10073516536.950943,5852758716154.115,2014703307.3901887,1,0.8947607764359363,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019897852483591882,0.894761132260714,10073516403.182505,5862832232557.298,2014703280.6365008,1,0.8947611322607142,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989762310407861,0.8947615091583423,10073516270.262035,5872905748827.561,2014703254.052407,1,0.8947615091583422,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019897392766945535,0.8947619070504814,10073516138.19109,5882979264965.751,2014703227.638218,1,0.8947619070504814,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019897161478644364,0.8947623258594333,10073516006.971264,5893052780972.723,2014703201.3942528,1,0.8947623258594334,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019896929245596176,0.8947627655081514,10073515876.604204,5903126296849.326,2014703175.3208408,1,0.8947627655081514,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019896696074190902,0.894763225920249,10073515747.091608,5913199812596.418,2014703149.4183216,1,0.8947632259202492,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019896461970786886,0.8947637070200084,10073515618.435211,5923273328214.853,2014703123.6870422,1,0.8947637070200082,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989622694171039,0.8947642087323889,10073515490.63681,5933346843705.49,2014703098.127362,1,0.8947642087323889,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.0198959909932551,0.8947647309830365,10073515363.698238,5943420359069.188,2014703072.7396476,1,0.8947647309830365,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989575413168169,0.8947652736982914,10073515237.621382,5953493874306.81,2014703047.5242763,1,0.8947652736982914,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989551636321738,0.8947658368051957,10073515112.408175,5963567389419.218,2014703022.4816349,1,0.8947658368051957,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989527769405543,0.8947664202315038,10073514988.060598,5973640904407.279,2014702997.6121197,1,0.8947664202315037,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019895038130354783,0.8947670239056874,10073514864.58068,5983714419271.86,2014702972.9161363,1,0.8947670239056875,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01989479767823954,0.8947676477569462,10073514741.970499,5993787934013.83,2014702948.3940997,1,0.8947676477569462,1.0,,,
